County,Pence,Lake,Ferkinhoff,Total,Overdose,,,
Bartholomew,22705,11977,1182,35864,70,,,
Dearborn,19246,5138,746,25130,45,,,
Decatur,9512,2277,408,12197,17,,,
Delaware,26143,19504,1694,47341,130,,,
Fayette,7652,2138,210,10000,51,,,
Franklin,9352,1988,463,11803,25,,,
Hancock,28850,11641,1812,42303,45,,,
Henry,14242,5188,856,20286,24,,,
Jefferson,9462,4546,429,14437,17,,,
Jennings,9038,2486,371,11895,32,,,
Ohio,2334,710,67,3111,0,,,
Randolph,8102,2331,510,10943,36,,,
Ripley,10997,2660,497,14154,24,,,
Rush,5906,1662,261,7829,18,,,
Scott,3325,1234,115,4674,43,,,
Shelby,14424,4624,721,19769,29,,,
Switzerland,3043,934,89,4066,10,,,
Union,2648,712,100,3460,14,,,
Wayne,17341,8982,1192,27515,144,,,
